Name,V,start time,mid time,end time,duration(hours),jd_start,jd_mid,jd_end,el_start,el_mid,el_end,az_start,az_mid,az_end,ha_start,ha_mid,ha_end,coords(J2000),depth(ppt),priority,period(days),period_unc(days),T_0(BJD_TDB),T_0_unc,comments,percent_transit_observable,percent_baseline_observable,obs_start_time,obs_end_time,moon_percent,moon_dist_deg
Kepler-290 d,15.8,05/12/2024 18:30,05/12/2024 19:03,05/12/2024 19:37,01:08,10650.271,10650.294,10650.318,49,43,37,303,303,304,3.2,3.8,4.3,19:05:38.41 +42:40:53.45,0.14,1,0.76402007,3.54E-06,2454965.22,0.00391,,42,19,19:09,20:15,20,69
Kepler-1852 b,15.7,05/12/2024 19:52,05/12/2024 20:31,05/12/2024 21:09,01:17,10650.328,10650.355,10650.382,35,28,21,301,303,306,4.5,5.1,5.8,19:12:07.13 +40:20:39.10,0.49,1,7.9709719,2.18E-05,2454967.051,0.00232,,34,26,19:09,20:18,21,67
Kepler-1427 b,15.6,05/12/2024 20:20,05/12/2024 21:09,05/12/2024 21:57,01:37,10650.347,10650.381,10650.415,36,27,19,307,309,312,4.5,5.3,6.1,19:41:23.92 +45:06:52.33,0.12,1,0.9689707,3.88E-06,2454965.43,0.003597,,34,38,19:09,20:54,21,69
Kepler-1814 c,15.8,05/12/2024 18:22,05/12/2024 18:57,05/12/2024 19:32,01:10,10650.265,10650.29,10650.314,50,43,37,301,301,302,3.2,3.7,4.3,19:00:52.00 +41:16:56.80,0.45,1,0.62628138,9.40E-07,2454964.906,0.00137,,33,25,19:09,20:08,20,69
Kepler-27 b,15.8,05/12/2024 19:22,05/12/2024 21:15,05/12/2024 23:09,03:47,10650.307,10650.386,10650.464,44,23,4,301,306,316,3.7,5.6,7.5,19:28:56.82 +41:05:09.14,3.4,1,15.33527467,2.15E-06,2454976.333,0.001899,,33,10,19:09,20:36,21,66
HIP 29442 c,9.5,06/12/2024 04:27,06/12/2024 05:40,06/12/2024 06:52,02:26,10650.685,10650.736,10650.786,37,26,12,219,234,246,2.1,3.3,4.5,06:12:13.88 -14:38:57.54,0.21,1,3.5379559,8.20E-06,2458471.36,0.0033,,33,50,03:18,05:14,25,124
Kepler-1611 b,14.6,05/12/2024 15:38,05/12/2024 18:12,05/12/2024 20:47,05:09,10650.151,10650.258,10650.366,69,57,33,9,319,313,-0.3,2.2,4.8,19:46:02.88 +49:43:39.90,0.09,1,5.1762429,5.83E-05,2454966.744,0.0116,,32,5,19:09,21:03,20,74
HAT-P-50 b,11.7,05/12/2024 21:25,05/12/2024 23:15,06/12/2024 01:05,03:40,10650.393,10650.469,10650.545,-3,21,45,75,88,102,-6.7,-4.8,-3,07:52:15.23 +12:08:21.65,6.6,1,3.12200511,5.00E-07,2458402.63,0.00022,,32,50,23:55,02:06,22,163
K2-308 b,15.1,06/12/2024 04:43,06/12/2024 06:15,06/12/2024 07:48,03:05,10650.696,10650.761,10650.825,43,23,3,266,277,287,3.3,4.9,6.4,05:13:21.39 +16:24:51.11,6.5,1,3.38628,2.00E-05,2457823.223,0.0006,,32,50,03:19,05:42,25,124
Kepler-1443 b,12.3,05/12/2024 19:28,05/12/2024 20:34,05/12/2024 21:39,02:11,10650.311,10650.357,10650.402,37,26,15,309,312,316,4.4,5.5,6.6,18:53:44.58 +47:04:00.47,0.05,1,2.41810661,9.80E-06,2454965.387,0.003428,,31,10,19:09,20:08,21,74
Kepler-566 b,15.2,05/12/2024 19:44,05/12/2024 21:16,05/12/2024 22:47,03:02,10650.323,10650.386,10650.449,40,24,10,310,313,319,4.1,5.6,7.2,19:26:13.07 +47:48:51.97,0.74,1,18.42792967,2.30E-06,2454974.583,0.002109,,31,28,19:09,20:41,21,73
Kepler-1432 b,15.6,05/12/2024 19:26,05/12/2024 21:58,06/12/2024 00:29,05:03,10650.31,10650.415,10650.52,45,21,1,313,316,330,3.5,6.1,8.6,19:42:05.78 +49:49:46.28,0.34,1,23.9109011,0.0002703,2454983.532,0.0101,,31,6,19:09,21:00,21,74
Kepler-159 c,15.4,05/12/2024 15:33,05/12/2024 18:07,05/12/2024 20:41,05:07,10650.148,10650.255,10650.361,77,62,33,23,304,302,-0.5,2.1,4.7,19:48:16.85 +40:52:07.44,2.3,1,43.58642609,7.38E-05,2455027.605,0.00132,,30,10,19:09,20:55,20,65
Kepler-1409 b,15.4,05/12/2024 20:18,05/12/2024 20:54,05/12/2024 21:29,01:11,10650.346,10650.371,10650.395,33,28,22,315,316,317,4.8,5.4,6,19:20:20.34 +51:12:31.01,0.16,1,0.76486467,1.49E-06,2454965.131,0.001629,,30,45,19:09,20:39,21,76
K2-210 b,11.5,06/12/2024 00:52,06/12/2024 01:19,06/12/2024 01:46,00:55,10650.536,10650.555,10650.574,33,28,22,251,256,260,3.5,3.9,4.4,01:10:33.90 +01:34:42.29,0.08,1,0.570233,2.80E-05,2457393.958,0.002106,Duration estimated. ,29,50,20:01,01:07,22,66
K2-141 b,11.5,05/12/2024 22:59,05/12/2024 23:25,05/12/2024 23:51,00:52,10650.457,10650.476,10650.494,33,28,22,248,252,256,3.4,3.8,4.3,23:23:40.09 -01:11:21.06,0.51,1,0.2803246,1.00E-07,2460232.513,0.000596,,28,50,21:58,23:14,22,42
K2-165 b,11.3,06/12/2024 03:31,06/12/2024 04:24,06/12/2024 05:17,01:46,10650.647,10650.683,10650.72,14,25,36,97,104,112,-5,-4.1,-3.2,12:19:36.12 +00:58:05.98,0.21,1,2.354992,0.000261,2457584.483,0.004685,Duration estimated. ,28,9,04:47,06:56,24,129
HATS-2 b,13.6,06/12/2024 04:20,06/12/2024 05:22,06/12/2024 06:24,02:04,10650.68,10650.724,10650.767,16,26,34,128,140,154,-3.6,-2.6,-1.6,11:46:57.32 -22:33:46.83,20,1,1.35413379,8.00E-08,2458591.085,9.60E-05,,28,27,05:50,06:56,25,122
Kepler-292 c,16.3,05/12/2024 17:19,05/12/2024 18:35,05/12/2024 19:50,02:31,10650.222,10650.274,10650.327,68,55,41,315,304,303,1.4,2.7,3.9,19:43:03.89 +42:25:27.42,0.39,1,3.71545391,1.93E-05,2455002.784,0.00427,,27,30,19:09,20:52,20,67
Kepler-1368 b,15.9,05/12/2024 17:48,05/12/2024 18:43,05/12/2024 19:38,01:50,10650.242,10650.28,10650.318,63,53,43,307,302,302,1.9,2.9,3.8,19:39:04.08 +41:38:40.72,0.2,1,0.6756504,2.39E-06,2454964.681,0.00337,,26,39,19:09,20:47,20,66
WASP-12 b,11.6,05/12/2024 19:49,05/12/2024 21:20,05/12/2024 22:51,03:02,10650.326,10650.389,10650.452,3,21,40,58,67,74,-6.9,-5.4,-3.9,06:30:32.79 +29:40:20.16,17.1,1,1.09141918,4.00E-08,2457036.706,5.50E-05,,26,50,22:03,23:52,21,149
Kepler-534 c,13.4,05/12/2024 20:07,05/12/2024 21:53,05/12/2024 23:39,03:32,10650.338,10650.412,10650.485,39,22,7,312,316,324,4.2,5.9,7.7,19:45:40.46 +49:32:24.53,0.13,1,7.37868381,7.99E-06,2454968.825,0.007136,,26,39,19:09,21:03,21,73
WASP-156 b,11.6,06/12/2024 01:33,06/12/2024 02:45,06/12/2024 03:57,02:24,10650.565,10650.615,10650.665,38,22,7,249,260,269,3.2,4.4,5.6,02:11:07.70 +02:25:05.50,5.3,1,3.83616488,9.70E-07,2459058.611,0.00014,,25,50,00:33,02:10,23,79
Kepler-1998 b,12.7,05/12/2024 17:48,05/12/2024 18:41,05/12/2024 19:34,01:46,10650.242,10650.279,10650.315,53,45,36,312,310,310,2.7,3.6,4.5,18:53:43.00 +47:35:32.63,0.04,1,3.03266154,1.32E-05,2454967.07,0.0036,,24,18,19:09,20:09,20,75
Kepler-1430 b,15.6,05/12/2024 20:03,05/12/2024 20:59,05/12/2024 21:54,01:52,10650.335,10650.374,10650.413,35,25,15,305,308,312,4.5,5.5,6.4,19:18:47.41 +43:22:19.05,0.28,1,2.46050095,1.17E-05,2454966.616,0.00404,,23,27,19:09,20:29,21,69
K2-333 b,12.1,06/12/2024 05:49,06/12/2024 08:18,06/12/2024 10:46,04:58,10650.742,10650.846,10650.949,75,46,14,209,262,280,0.5,3,5.5,09:07:09.43 +15:12:20.44,2.2,1,14.759859,3.00E-05,2458525.43,0.0012,,23,50,04:42,06:56,26,175
K2-372 b,13.6,06/12/2024 06:11,06/12/2024 08:02,06/12/2024 09:53,03:42,10650.758,10650.835,10650.912,66,43,19,233,260,275,1.3,3.1,5,08:43:11.73 +13:00:33.92,1.1,1,9.84413,0.00039,2457146.329,0.0014,,20,50,01:52,06:56,26,169
WASP-78 b,12,05/12/2024 18:09,05/12/2024 20:38,05/12/2024 23:07,04:58,10650.256,10650.36,10650.463,-14,15,36,108,126,157,-6.3,-3.8,-1.3,04:15:01.50 -22:06:59.00,6.5,1,2.175185,2.70E-07,2457966.186,0.00017,,18,50,22:14,00:08,21,100
Kepler-981 b,14.9,05/12/2024 20:10,05/12/2024 21:13,05/12/2024 22:16,02:06,10650.34,10650.384,10650.428,34,23,14,310,313,317,4.7,5.7,6.8,19:16:59.74 +47:39:00.41,0.58,1,4.46976519,1.57E-06,2454964.842,0.001387,,18,48,19:09,20:32,21,73
Kepler-288 c,15.3,05/12/2024 19:34,05/12/2024 21:45,05/12/2024 23:56,04:22,10650.315,10650.406,10650.497,39,15,-6,299,307,322,4.1,6.3,8.5,19:15:39.94 +39:35:41.11,0.75,1,19.30572737,4.69E-06,2455186.884,0.004635,,18,18,19:09,20:21,21,66
Kepler-226 d,15.6,05/12/2024 16:06,05/12/2024 17:54,05/12/2024 19:42,03:36,10650.171,10650.246,10650.321,70,58,40,348,316,310,0.4,2.2,4,19:29:30.26 +47:52:51.45,0.22,1,8.10904807,6.79E-05,2454965.803,0.00716,,15,24,19:09,20:45,20,73
K2-104 b,16,05/12/2024 23:06,05/12/2024 23:53,06/12/2024 00:40,01:35,10650.462,10650.495,10650.528,12,23,33,74,79,84,-5.7,-5,-4.2,08:38:32.80 +19:46:25.39,1.7,1,1.9741954,2.40E-06,2457140.38,0.000997,,14,50,00:27,01:47,22,176
WASP-79 b,10,06/12/2024 00:44,06/12/2024 02:37,06/12/2024 04:30,03:46,10650.53,10650.609,10650.688,31,24,9,182,208,228,0.1,2,3.9,04:25:29.02 -30:36:01.57,12.3,1,3.66239163,3.90E-07,2458588.687,5.90E-05,,14,38,23:59,01:15,23,96
Kepler-107 e,12.5,05/12/2024 13:28,05/12/2024 16:45,05/12/2024 20:01,06:32,10650.061,10650.198,10650.334,55,69,40,46,339,311,-2.5,0.7,4,19:48:06.76 +48:12:30.97,0.43,1,14.7491425,2.04E-06,2454957.028,0.001675,,13,50,19:09,21:03,20,73
Kepler-220 c,13,05/12/2024 20:26,05/12/2024 21:20,05/12/2024 22:14,01:48,10650.351,10650.389,10650.426,32,23,15,310,312,316,4.8,5.7,6.6,19:26:01.45 +46:53:44.25,0.57,1,9.03419765,6.50E-07,2454967.878,0.000564,,13,50,19:25,20:40,21,72
Kepler-904 b,14.6,05/12/2024 16:40,05/12/2024 18:05,05/12/2024 19:30,02:50,10650.195,10650.254,10650.313,71,56,40,313,301,300,1.2,2.6,4,19:15:17.50 +40:23:20.44,0.17,1,3.02168007,8.51E-06,2454966.472,0.00247,,12,31,19:09,20:22,20,67
WASP-3 b,10.6,05/12/2024 16:41,05/12/2024 18:04,05/12/2024 19:28,02:47,10650.195,10650.253,10650.311,65,48,31,293,293,296,1.9,3.3,4.7,18:34:31.62 +35:39:41.15,11,1,1.8468351,7.00E-08,2456598.295,7.50E-05,,11,6,19:09,19:35,20,66
EPIC 206215704 b,17.8,05/12/2024 18:15,05/12/2024 18:45,05/12/2024 19:14,00:59,10650.261,10650.281,10650.302,52,52,51,173,185,196,-0.3,0.2,0.7,22:20:22.79 -09:30:34.96,2.7,1,2.255436,9.10E-05,2457010.007,0.0018,,9,28,19:09,21:45,20,27
Kepler-1555 b,15.4,05/12/2024 20:06,05/12/2024 22:19,06/12/2024 00:32,04:26,10650.337,10650.43,10650.522,33,11,-6,308,316,332,4.7,7,9.2,19:10:32.51 +45:42:57.72,0.21,1,8.10488985,7.45E-05,2454968.901,0.005363,,7,21,19:09,20:23,21,72
Kepler-84 d,14.9,05/12/2024 20:47,05/12/2024 22:21,05/12/2024 23:55,03:08,10650.366,10650.431,10650.496,32,15,0,302,308,318,4.7,6.3,7.8,19:53:00.48 +40:29:45.90,0.16,1,4.22453631,2.22E-05,2454968.429,0.00388,,7,47,19:09,20:59,21,64
HD 63935 b,8.6,05/12/2024 20:54,05/12/2024 22:35,06/12/2024 00:15,03:20,10650.371,10650.441,10650.51,-10,11,33,73,85,98,-7.2,-5.5,-3.8,07:51:41.91 +09:23:06.87,0.88,1,9.0588209,1.17E-05,2460269.975,0.001202,,7,50,00:00,01:17,21,161
K2-188 b,12.7,06/12/2024 06:47,06/12/2024 08:01,06/12/2024 09:15,02:28,10650.782,10650.834,10650.885,63,47,31,265,274,281,1.9,3.2,4.4,08:39:15.29 +23:21:26.77,0.11,1,1.742983,0.00026,2457142.213,0.00496,Duration estimated. ,6,24,00:22,06:56,26,171
Kepler-116 c,13.7,05/12/2024 20:38,05/12/2024 22:20,06/12/2024 00:02,03:24,10650.36,10650.431,10650.502,32,14,-1,306,312,323,4.8,6.5,8.2,19:38:58.09 +43:32:12.42,0.25,1,13.07139534,4.87E-06,2454977.445,0.004309,,5,50,19:31,20:49,21,68
Kepler-49 d,15.7,05/12/2024 20:32,05/12/2024 21:29,05/12/2024 22:26,01:55,10650.355,10650.395,10650.435,31,20,10,303,306,311,4.8,5.8,6.8,19:29:10.68 +40:35:30.52,0.86,1,2.57657133,1.45E-06,2454966.478,0.001307,,3,50,19:27,20:36,21,66
HATS-18 b,14.2,06/12/2024 04:50,06/12/2024 05:49,06/12/2024 06:47,01:56,10650.702,10650.742,10650.782,18,25,30,140,152,165,-2.9,-2,-1,11:35:49.78 -29:09:21.83,21.4,1,0.8378434,1.60E-07,2458217.644,0.00016,,3,8,06:43,06:56,25,119
Kepler-624 b,13.6,05/12/2024 14:58,05/12/2024 17:05,05/12/2024 19:12,04:14,10650.123,10650.212,10650.3,74,72,48,43,311,298,-0.9,1.2,3.3,19:40:46.41 +39:32:22.90,0.41,1,14.58654324,2.76E-06,2454961.459,0.002424,,1,50,19:09,20:15,20,65
Wolf 327 b,13,06/12/2024 00:24,06/12/2024 00:51,06/12/2024 01:18,00:54,10650.517,10650.535,10650.554,20,25,30,60,62,63,-5.7,-5.2,-4.8,09:53:30.80 +35:34:13.97,0.82,1,0.5734745,3.00E-07,2459252.981,0.0003,,1,50,01:17,02:19,22,161
