Name,V,start time,mid time,end time,duration(hours),jd_start,jd_mid,jd_end,el_start,el_mid,el_end,az_start,az_mid,az_end,ha_start,ha_mid,ha_end,coords(J2000),depth(ppt),priority,period(days),period_unc(days),T_0(BJD_TDB),T_0_unc,comments,percent_transit_observable,percent_baseline_observable,obs_start_time,obs_end_time,moon_percent,moon_dist_deg
TOI-3714 b,15.7,06/12/2024 01:01,06/12/2024 01:50,06/12/2024 02:38,01:38,10650.542,10650.576,10650.61,79,74,65,349,315,303,0.2,1,1.8,04:38:12.56 +39:27:28.81,49.6,1,2.15484802,7.50E-07,2459687.365,7.50E-05,,100,100,00:00,03:39,23,122
TOI-5388.01,12.7,06/12/2024 02:15,06/12/2024 02:24,06/12/2024 02:34,00:19,10650.594,10650.6,10650.607,38,40,42,66,66,67,-4.1,-3.9,-3.8,10:08:42.36 +35:32:51.21,1.1,1,2.594675,9.20E-06,2459630.896,0.001503,,100,82,01:32,03:39,23,159
TOI-2445 b,15.7,06/12/2024 02:12,06/12/2024 02:27,06/12/2024 02:42,00:29,10650.592,10650.602,10650.612,37,34,31,246,249,251,3.1,3.4,3.6,02:53:15.88 +00:03:08.41,2.3,1,0.3711281,5.00E-07,2459144.57,0.0004,,100,53,01:09,02:46,23,88
CoRoT-7 b,11.7,06/12/2024 02:36,06/12/2024 03:08,06/12/2024 03:40,01:04,10650.608,10650.63,10650.652,60,60,58,170,186,202,-0.3,0.2,0.7,06:43:49.48 -01:03:46.83,0.35,1,0.85359165,5.00E-08,2454398.077,0.0008,,100,100,01:35,04:41,23,140
TOI-532 b,14.4,06/12/2024 02:32,06/12/2024 03:25,06/12/2024 04:17,01:45,10650.606,10650.642,10650.679,70,62,52,211,237,251,0.7,1.6,2.4,05:40:19.21 +11:33:45.49,8.6,1,2.3266508,3.00E-06,2458470.577,0.000902,,100,100,01:28,05:22,23,131
K2-321 b,13.7,06/12/2024 03:41,06/12/2024 04:12,06/12/2024 04:43,01:02,10650.654,10650.675,10650.697,41,47,52,114,121,129,-2.9,-2.4,-1.9,10:25:37.32 +02:30:49.98,1,1,2.29801434,1.27E-05,2458518.119,0.001422,,100,83,02:50,06:00,24,153
K2-270 b,13.8,06/12/2024 03:26,06/12/2024 04:16,06/12/2024 05:05,01:38,10650.643,10650.677,10650.712,64,72,75,122,146,188,-1.5,-0.7,0.1,08:45:03.97 +13:32:59.04,0.29,1,1.543452,0.000091,2457140.872,0.0027,,100,38,00:45,06:56,24,171
WASP-104 b,11.8,06/12/2024 03:29,06/12/2024 04:21,06/12/2024 05:14,01:46,10650.645,10650.682,10650.718,37,48,58,104,113,128,-3.4,-2.5,-1.7,10:42:24.57 +07:26:06.28,14.7,1,1.75540569,1.10E-07,2457805.17,3.70E-05,,100,78,02:55,06:14,24,153
TOI-5720 b,13.8,06/12/2024 03:54,06/12/2024 04:24,06/12/2024 04:55,01:01,10650.662,10650.684,10650.705,42,48,55,81,84,86,-3.6,-3.1,-2.6,11:21:15.26 +25:16:23.86,0.72,1,1.4344555,3.60E-06,2460076.903,0.00067,,100,93,03:00,05:57,24,149
TOI-1807 b,10,06/12/2024 05:16,06/12/2024 05:46,06/12/2024 06:15,00:59,10650.72,10650.74,10650.76,36,42,48,61,62,63,-4.3,-3.8,-3.3,13:25:07.83 +38:55:20.52,0.37,1,0.54937097,7.20E-07,2458899.345,0.00038,,100,58,04:43,06:56,25,123
